Reaction,Min,Max
EX_leu_L,7.95439777891676e-07,0.1870275597088235
EX_lys_L,1.4225125325753436e-08,0.0789697053525559
EX_mal_L,2.5495555541901986e-07,0.255809856877694
EX_malt,-1.9834243715378368e-16,1.2153393184449217e-15
EX_meoh,-5.3686716351847597e-14,6.007311044829482e-14
EX_met_L,-9.540400924460817e-13,4.2013629165553636e-14
EX_nh4,-0.3131437966350654,0.720857715786922
EX_no2,1.0790009763922877e-07,0.0285016183209424
EX_no3,-8.74523481897756e-14,1.0482159187948572e-13
EX_o2,-0.9999999132273512,-0.9218597688714902
EX_ocdca,-3.994133756682573e-14,2.574942353085641e-13
EX_orn,2.9864968803402326e-08,0.0782517094866984
EX_pac,2.71291995267375e-08,0.0333381652525963
EX_pdima,3.483277661811924e-08,0.0080421218713399
EX_phdca,5.424470268792744e-07,0.3317026699903806
EX_phe_L,1.4819507494494216e-08,0.0339815534846034
EX_pi,-0.0542035630396097,-2.888678537064033e-06
EX_ppa,-1.4412720075471849e-13,1.7603750174776e-13
EX_ppdima,4.4084505495548736e-08,0.0074074070105625
EX_pro_L,2.2363205467772216e-06,0.2618343365881883
EX_pyr,1.0180848772041905e-07,0.3561897704104558
EX_rib_D,-7.999696157426509e-15,2.365622904968468e-14
EX_ser_D,-3.887881455528302e-18,7.552371691335483e-18
EX_ser_L,6.163660817550461e-08,0.0906586113646902
EX_skm,3.926257768814751e-08,0.0619206232298373
EX_so4,-0.1404715969244098,-1.367029819806951e-06
EX_succ,1.580260821985247,3.784277927210162
EX_tartr_L,0.0,0.0
EX_thr_L,3.934012152668071e-07,0.1534220597129407
EX_tre,0.0,0.0
EX_trp_L,1.2521491936387445e-07,0.0208574586849646
EX_tsul,-1.6175020059590856e-13,9.899686135685321e-14
EX_ttdca,-1.0685520851471084e-14,9.324057290548985e-14
EX_tyr_L,1.7302749487738964e-08,0.0331763590058469
EX_val_L,8.57108724011623e-06,0.7988238755186657
EX_ac,1.8377849132644383e-05,0.734589919211058
EX_4abz,1.0030579388573175e-08,0.0308006725614507
EX_for,6.715898912125181e-08,0.9408865841116436
EX_akg,7.775403514316306e-08,0.0971938400923194
EX_ad,-4.2355571434312203e-14,9.390158432851933e-14
Adt,-7.974067174651024e-14,3.469035019311154e-14
EX_urea,-1.4597394078376038e-13,2.2533938295045446e-14
FACOAE140,1.755351392991955e-08,0.084456975922151
FACOAE160,1.755351392991343e-08,0.1223859219533089
FACOAE180,1.152400862220078e-06,0.0886575390287183
FACOAL140,4.027931064205741e-08,0.1024207559261962
FACOAL160,2.1861431485733824e-05,0.1297142185721675
FACOAL161,-0.0819450339360806,0.0276239239822875
FACOAL180,0.0002224290871994,0.1105571537027549
FACOAL181,-0.0821155321155919,0.0739791877016736
FACOAL200,3.483293794638193e-08,0.0080421218714428
FACOAL80,-0.067736073386271,0.0343616716763183
FACOALPHDCA,-0.3317027328451298,-2.528456168047407e-05
FACOALPREPH,-0.0071817310250384,0.0981511461185204
FAMPL1,3.415828546107027e-08,0.0001565937291927
FAMPL2,2.254508286691747e-08,0.0001033972490866
FAMPL3,1.7890486210985223e-08,8.205542806689316e-05
FAMPL4,4.6482667420762255e-09,2.131279769105401e-05
FAMPL5,2.0196605464558306e-08,9.257794057641636e-05
FAO1,3.6891814004978543e-09,0.0192827889524595
FAO10,1.1904655773044744e-08,0.0153559705074455
FAO11,3.4473525135796494e-07,0.0817974829615647
FAO2,7.872063713185063e-10,0.0074346239879489
FAO3,-1.3374116152035703e-17,5.885427928035005e-19
FAS100,0.0040911744086947,0.1041829537328554
FAS120,0.0040911744087069,0.1041829537328555
FAS140,0.0040911744086887,0.1041829537328556
FAS160,8.953693034779105e-07,0.0985336194089037
FAS161,1.6474015236844334e-07,0.0463640641791453
FAS180,0.0015427855173802,0.1064485124865689
FAS181,1.8454409509435448e-07,0.0606690708353163
FAS200,2.792827455506073e-07,0.0252344345756929
FAS240_L,3.219984980134915e-07,0.0014763973807397
FAS260,3.219984980134915e-07,0.0014763973807397
FAS80_L,2.70733065906607e-05,0.1009460997537116
FASPHDCA,5.004654270397326e-05,0.3317028547914937
FASm1601,2.481326231811923e-09,1.1377144840979762e-05
FASm180,3.318288541639682e-07,0.0015214706102985
FASm1801,2.481326231811923e-09,1.1377144840979762e-05
FASm2001,2.481326231811923e-09,1.1377144840979762e-05
FASm2002,1.552094877653818e-08,7.116520191347646e-05
FASm220,2.104786423450281e-07,0.0171778934426978
FASm2201,2.481326231811923e-09,1.1377144840979762e-05
FASm2202,1.552094877653818e-08,7.116520191347646e-05
FASm240,1.939364664388036e-07,0.0171264289571517
FASm2401,2.481326231811923e-09,1.1377144840979762e-05
FASm2402,1.552094877653818e-08,7.116520191347646e-05
FASm260,1.939364664388036e-07,0.0171264289571517
FASm2601,2.481326231811923e-09,1.1377144840979762e-05
FASm2602,4.962652463623846e-09,2.275428968195951e-05
FASm280,1.939364664388036e-07,0.0171264289571517
FASm2801,2.481326231811923e-09,1.1377144840979826e-05
FASm2802,4.962652463623846e-09,2.275428968195951e-05
FASm300,4.962652463623846e-09,2.275428968195951e-05
FASm320,4.962652463623846e-09,2.2754289681959524e-05
FASm340,4.962652463623846e-09,2.2754289681959653e-05
FBA,0.8115417594280292,0.9751391657089422
FBP,7.022358620467519e-08,0.216877321096805
FCLT,1.2017235427511429e-10,1.5147078621682536e-05
FCLT2,6.244355935373797e-13,1.2216064862775244e-05
FCOAH2,4.184634161359113e-07,0.1106807149151879
FDH,5.783131073730971e-07,0.2778614072046044
FE3Ri,3.375955309943779e-09,1.5479108452898716e-05
FETRANS,-1.2216064862775244e-05,-6.244355935373797e-13
FHL,8.484922931646488e-06,1.0930363855029972
FMNAT,2.721862958364836e-08,0.0001248003133469
FOLD3,2.2938264253404055e-10,6.733814148334215e-06
FOLR2,0.0919948501366695,639.0833243180423
FOMETR,-0.1671406924066088,-7.021405572007864e-08
FORMCOAL,-0.1790667971580888,0.0851192595583545
FRD,0.9838122221395328,751.0571508309253
FRD2,5.107493309328401e-07,0.8408799322009537
FRD3,4.322111121301151e-05,0.755287312456907
FTHFCL,7.021405572008004e-08,0.1671406924066088
FTHFD,1.1757949658342586e-05,0.2386640255355547
FUM,-1.7631808732084626,-0.2499776664554944
FUMt2r,-0.315107979472863,-2.1804308490557694e-06
G16MTM1,2.6131994371592176e-08,0.0001198179752172
G16MTM10,2.434906863529846e-09,1.1164307097356585e-05
G16MTM2,1.5079872702677595e-10,3.575012348951139e-05
G16MTM4,5.371986893021477e-09,2.463113160300617e-05
G16MTM5,2.55517522680639e-09,1.1715750342200091e-05
G16MTM6,2.243433391354777e-08,9.94106472750382e-05
G16MTM7,1.1385405056851661e-08,5.220329384517458e-05
G16MTM8,8.066420224674565e-09,3.698539517607726e-05
G16MTM9,5.106130511041492e-09,2.341215179861579e-05
G1PACT,0.0002989333814868,0.4027262651862269
G1PTT,1.542389009740344e-09,7.072017754054868e-06
G1SATi,4.05114486831441e-08,0.0001857493034408
G3PAT160,1.6919667791081857e-08,0.0346808913335025
G3PAT190,2.5777519195618785e-08,0.0001181926688114
G5SADs,2.6202211734645035e-06,0.4671855920696748
